time,x,y,dx,dy
15.7666666667,0.744754495697,2.38654750623,0.00118434586778,-0.472766141311
15.8666666667,0.7458223158,2.3527575824,-0.0125149651894,-0.631378632933
15.9,0.744549708279,2.30732403114,-0.0469877455697,-0.921693908128
15.9333106576,0.741112205206,2.28080406062,-0.0553661266199,-1.05377203968
15.9666666667,0.739400767505,2.23921758726,-0.0238090877977,-1.2517487939
16,0.740936673134,2.19571488879,-0.0157900706024,-1.37188339643
16.0333106576,0.73749917006,2.14598080177,0.0104222167657,-1.44801769543
16.0666666667,0.739985874412,2.10031320775,0.0678631419752,-1.52362154216
16.1,0.746100241581,2.04186102782,0.0206414703526,-1.52163833093
16.1333106576,0.742077631601,1.99386763385,-0.0644958466749,-1.39250567771
16.1666666667,0.740029757429,1.95327584223,-0.126132423233,-1.37219956626
16.2,0.739283746124,1.90610159792,-0.319522495051,-1.44562839655
16.2333106576,0.716844896274,1.85487548829,-0.439866306419,-1.46748468979
16.2666666667,0.701544350678,1.80435150695,-0.330811557744,-1.38200797882
16.3,0.692987162176,1.76146317073,-0.146269992436,-1.26683883333
16.3333106576,0.695020408674,1.72407483942,-0.0312300811153,-1.26636638053
16.3666666667,0.690515085497,1.68146442898,0.0747712891904,-1.37823547116
16.4,0.701471212315,1.62877555209,0.125492798305,-1.4121998858
16.4333106576,0.701836904131,1.58195237192,0.0856572131137,-1.30970086076
16.4666666667,0.706678663779,1.54649489341,0.0533303158092,-1.31216421892
16.5,0.706678663779,1.49538580516,-0.0144704283956,-1.33975160567
16.5333106576,0.702451266382,1.45119560607,0.00309619071167,-1.23367353215
16.5666666667,0.708009781991,1.41853201304,-0.00947618745733,-1.26045189635
16.6,0.70365073554,1.36923675619,-0.0675544471,-1.34320675781
16.6333106576,0.7026560538,1.32500267409,-0.103064143571,-1.32507210678
16.6666666667,0.696585569648,1.28256779572,-0.128285265711,-1.33511923441
16.7,0.691407373529,1.23138556911,-0.0784588605638,-1.22873607753
16.7333106576,0.692168012507,1.20256905398,-0.0442730892314,-1.17373664345
16.7666666667,0.689725191174,1.15874454671,-0.0389849466654,-1.25243096742
16.8,0.688057636491,1.11367668726,0.000904198211437,-1.20304742883
16.8333106576,0.690251787389,1.0769612289,0.027000245773,-1.11342187321
16.8666666667,0.690251787389,1.04276173024,0.0426336985167,-1.09743611521
16.9,0.693499130719,1.00336940778,0.0473632131431,-1.0830575595
16.9333106576,0.693499130719,0.97082283613,0.0510993364697,-1.08699454461
16.9666666667,0.695342217473,0.932556844468,0.0951645292173,-1.1316616067
17,0.700388764538,0.894817449022,0.120999905885,-1.16290196478
17.0333106576,0.704572278917,0.853713688865,0.113084099339,-1.15401366482
17.0666666667,0.709238506494,0.817627220429,0.0675621828104,-1.130916143
17.1,0.70839010148,0.77722558856,0.0429686158338,-1.08212797384
17.1333106576,0.710408720306,0.746712263405,0.0670922585709,-1.05804394249
17.1666666667,0.712003136625,0.708007441563,0.113933508044,-1.0701842453
17.2,0.719126813208,0.671760068728,0.130074238636,-1.00135376578
17.2333106576,0.722900752752,0.644625735955,0.0879001229206,-1.01767156596
17.2666666667,0.723983200529,0.605613732988,0.0674317084196,-1.07675508704
17.3,0.725650755211,0.569454126189,0.0934489745411,-1.05818245356
17.3333106576,0.731238526165,0.536483352028,0.0978225608706,-1.06594288572
17.3666666667,0.731838260743,0.498114966657,0.110375761234,-1.06447463137
17.4,0.739137469398,0.46378381894,0.105063888082,-1.01109609603
17.4333106576,0.739137469398,0.433036451022,0.0900021933721,-1.00507487996
17.4666666667,0.744900772423,0.391640137412,0.080339648747,-0.866837982841
17.5,0.745032421477,0.376500496216,0.0412643943176,-0.655150479625
