"Step","northern-sky-16516 - val_bleu_20rolling","northern-sky-16516 - val_bleu_20rolling__MIN","northern-sky-16516 - val_bleu_20rolling__MAX"
"0","0.16437183600289076","0.16437183600289076","0.16437183600289076"
"11","0.09199263837505009","0.09199263837505009","0.09199263837505009"
"22","0.10485596013286423","0.10485596013286423","0.10485596013286423"
"33","0.08205296608591665","0.08205296608591665","0.08205296608591665"
"44","0.0698295486004772","0.0698295486004772","0.0698295486004772"
"55","0.07307875305815822","0.07307875305815822","0.07307875305815822"
"66","0.08293048956432342","0.08293048956432342","0.08293048956432342"
"77","0.09942962076364309","0.09942962076364309","0.09942962076364309"
"98","0.10567313531360849","0.10567313531360849","0.10567313531360849"
"129","0.10325418845480917","0.10325418845480917","0.10325418845480917"
"150","0.10837326202676788","0.10837326202676788","0.10837326202676788"
"161","0.10881285783447055","0.10881285783447055","0.10881285783447055"
"172","0.12012980185076583","0.12012980185076583","0.12012980185076583"
"183","0.11947882610569462","0.11947882610569462","0.11947882610569462"
"194","0.13015358897420123","0.13015358897420123","0.13015358897420123"
"205","0.12464853626966341","0.12464853626966341","0.12464853626966341"
"216","0.11793579044129285","0.11793579044129285","0.11793579044129285"
"237","0.1243470157825054","0.1243470157825054","0.1243470157825054"
"248","0.13260725111550953","0.13260725111550953","0.13260725111550953"
"259","0.1329063433906236","0.1329063433906236","0.1329063433906236"
"270","0.13373185257154402","0.13373185257154402","0.13373185257154402"
"281","0.14599401219488925","0.14599401219488925","0.14599401219488925"
"302","0.1593966676538047","0.1593966676538047","0.1593966676538047"
"313","0.16418561306121884","0.16418561306121884","0.16418561306121884"
"324","0.1659014479031696","0.1659014479031696","0.1659014479031696"
"335","0.18714721716098276","0.18714721716098276","0.18714721716098276"
"346","0.19568352183641918","0.19568352183641918","0.19568352183641918"
"357","0.20000649469524087","0.20000649469524087","0.20000649469524087"
"368","0.21066922003436356","0.21066922003436356","0.21066922003436356"
"379","0.22014323936661387","0.22014323936661387","0.22014323936661387"
"390","0.2316597341438879","0.2316597341438879","0.2316597341438879"
"401","0.23575968930688934","0.23575968930688934","0.23575968930688934"
"412","0.2309203821506078","0.2309203821506078","0.2309203821506078"
"423","0.23928188672379594","0.23928188672379594","0.23928188672379594"
"434","0.23265566990927192","0.23265566990927192","0.23265566990927192"
"445","0.23622096216516025","0.23622096216516025","0.23622096216516025"
"456","0.23913329358443675","0.23913329358443675","0.23913329358443675"
"467","0.23112012895115738","0.23112012895115738","0.23112012895115738"
"488","0.2311365922526092","0.2311365922526092","0.2311365922526092"
"499","0.2309807760925989","0.2309807760925989","0.2309807760925989"
"510","0.22601068864574209","0.22601068864574209","0.22601068864574209"
"521","0.2256376126007221","0.2256376126007221","0.2256376126007221"
"532","0.22075426232087125","0.22075426232087125","0.22075426232087125"
"543","0.23178259507884238","0.23178259507884238","0.23178259507884238"
"574","0.2402056698644248","0.2402056698644248","0.2402056698644248"
"585","0.24752530501942155","0.24752530501942155","0.24752530501942155"
"606","0.25848386400168066","0.25848386400168066","0.25848386400168066"
"617","0.2658523303426593","0.2658523303426593","0.2658523303426593"
"628","0.26080098482001834","0.26080098482001834","0.26080098482001834"
"639","0.2569638167008692","0.2569638167008692","0.2569638167008692"
"650","0.23944000645782532","0.23944000645782532","0.23944000645782532"
"661","0.2351638405185171","0.2351638405185171","0.2351638405185171"
"672","0.2362299879586744","0.2362299879586744","0.2362299879586744"
"693","0.23680580281915742","0.23680580281915742","0.23680580281915742"
"704","0.23438744913873533","0.23438744913873533","0.23438744913873533"
"715","0.23796697524894228","0.23796697524894228","0.23796697524894228"
"726","0.2456450123794478","0.2456450123794478","0.2456450123794478"
"747","0.2600705608092989","0.2600705608092989","0.2600705608092989"
"758","0.2575299595952865","0.2575299595952865","0.2575299595952865"
"769","0.26455185134895065","0.26455185134895065","0.26455185134895065"
"790","0.2645233030619261","0.2645233030619261","0.2645233030619261"
"801","0.2678802751570673","0.2678802751570673","0.2678802751570673"
"812","0.2729997501585775","0.2729997501585775","0.2729997501585775"
"823","0.26804779143700025","0.26804779143700025","0.26804779143700025"
"834","0.27693102062941866","0.27693102062941866","0.27693102062941866"
"845","0.2554054321582699","0.2554054321582699","0.2554054321582699"
"856","0.24154679504861992","0.24154679504861992","0.24154679504861992"
"867","0.23661904138187254","0.23661904138187254","0.23661904138187254"
"898","0.23875468357136675","0.23875468357136675","0.23875468357136675"
"919","0.24747009461957756","0.24747009461957756","0.24747009461957756"
"930","0.2507546885867212","0.2507546885867212","0.2507546885867212"
"951","0.2548062503314421","0.2548062503314421","0.2548062503314421"
"962","0.26049323208583275","0.26049323208583275","0.26049323208583275"
"973","0.2565712790217419","0.2565712790217419","0.2565712790217419"
"984","0.2659811704314694","0.2659811704314694","0.2659811704314694"
"995","0.2660633870110375","0.2660633870110375","0.2660633870110375"
"1006","0.26204508782523434","0.26204508782523434","0.26204508782523434"
"1047","0.2609132190724044","0.2609132190724044","0.2609132190724044"
"1058","0.26593189639060055","0.26593189639060055","0.26593189639060055"
"1079","0.258936914213062","0.258936914213062","0.258936914213062"
"1110","0.26253201123497755","0.26253201123497755","0.26253201123497755"
"1121","0.2667712041800042","0.2667712041800042","0.2667712041800042"
"1132","0.2708079548377263","0.2708079548377263","0.2708079548377263"
"1143","0.26895400088917315","0.26895400088917315","0.26895400088917315"
"1154","0.2584474747107276","0.2584474747107276","0.2584474747107276"
"1175","0.266410601335052","0.266410601335052","0.266410601335052"
"1186","0.26609575334839514","0.26609575334839514","0.26609575334839514"
"1197","0.26460661185146306","0.26460661185146306","0.26460661185146306"
"1228","0.2563678614371803","0.2563678614371803","0.2563678614371803"
"1239","0.270010742134496","0.270010742134496","0.270010742134496"
"1250","0.279301708466905","0.279301708466905","0.279301708466905"
"1261","0.27280128822854177","0.27280128822854177","0.27280128822854177"
"1282","0.26574425088780823","0.26574425088780823","0.26574425088780823"
"1293","0.26181822056944093","0.26181822056944093","0.26181822056944093"
"1314","0.26756049917795244","0.26756049917795244","0.26756049917795244"
"1325","0.2692359511717366","0.2692359511717366","0.2692359511717366"
"1336","0.2679534318605302","0.2679534318605302","0.2679534318605302"
"1347","0.27291691668173274","0.27291691668173274","0.27291691668173274"
"1358","0.2667605088110253","0.2667605088110253","0.2667605088110253"
"1369","0.2762022684442196","0.2762022684442196","0.2762022684442196"
"1380","0.27239328184992917","0.27239328184992917","0.27239328184992917"
"1391","0.27618874629966755","0.27618874629966755","0.27618874629966755"
"1402","0.26383097918414167","0.26383097918414167","0.26383097918414167"
"1413","0.2862067407865415","0.2862067407865415","0.2862067407865415"
"1424","0.28127907288787934","0.28127907288787934","0.28127907288787934"
"1445","0.27468658107893557","0.27468658107893557","0.27468658107893557"
"1456","0.29305709430163435","0.29305709430163435","0.29305709430163435"
"1477","0.29105612390753943","0.29105612390753943","0.29105612390753943"
"1488","0.29369576143477805","0.29369576143477805","0.29369576143477805"
"1499","0.26994536334876673","0.26994536334876673","0.26994536334876673"
