rouge1_prec,rouge1_recc,rouge1_fm,rougel_prec,rougel_recc,rougel_fm
0.3333333333333333,0.24,0.27906976744186046,0.2222222222222222,0.16,0.18604651162790697
0.6111111111111112,0.55,0.5789473684210527,0.6111111111111112,0.55,0.5789473684210527
0.5714285714285714,0.6666666666666666,0.6153846153846153,0.5714285714285714,0.6666666666666666,0.6153846153846153
0.7272727272727273,0.4444444444444444,0.5517241379310345,0.6363636363636364,0.3888888888888889,0.4827586206896552
0.7,0.4375,0.5384615384615384,0.6,0.375,0.4615384615384615
1.0,0.2777777777777778,0.4347826086956522,0.9,0.25,0.391304347826087
0.6,0.3157894736842105,0.41379310344827586,0.5,0.2631578947368421,0.3448275862068966
0.3181818181818182,0.5833333333333334,0.4117647058823529,0.3181818181818182,0.5833333333333334,0.4117647058823529
0.3,0.5454545454545454,0.3870967741935483,0.3,0.5454545454545454,0.3870967741935483
1.0,0.5555555555555556,0.7142857142857143,1.0,0.5555555555555556,0.7142857142857143
0.7777777777777778,0.25,0.3783783783783784,0.7777777777777778,0.25,0.3783783783783784
0.875,0.8235294117647058,0.8484848484848485,0.875,0.8235294117647058,0.8484848484848485
0.7222222222222222,0.8666666666666667,0.7878787878787877,0.7222222222222222,0.8666666666666667,0.7878787878787877
0.7857142857142857,0.6470588235294118,0.7096774193548386,0.7142857142857143,0.5882352941176471,0.6451612903225806
0.6153846153846154,0.4,0.4848484848484849,0.6153846153846154,0.4,0.4848484848484849
0.5789473684210527,0.28205128205128205,0.37931034482758624,0.47368421052631576,0.23076923076923078,0.3103448275862069
0.7272727272727273,0.22857142857142856,0.34782608695652173,0.5454545454545454,0.17142857142857143,0.26086956521739124
0.6875,0.7857142857142857,0.7333333333333334,0.6875,0.7857142857142857,0.7333333333333334
1.0,0.7,0.8235294117647058,1.0,0.7,0.8235294117647058
0.5714285714285714,0.5,0.5333333333333333,0.5714285714285714,0.5,0.5333333333333333
0.5555555555555556,0.5263157894736842,0.5405405405405405,0.5,0.47368421052631576,0.4864864864864865
0.8,0.8,0.8000000000000002,0.8,0.8,0.8000000000000002
0.47619047619047616,0.2222222222222222,0.30303030303030304,0.3333333333333333,0.15555555555555556,0.21212121212121213
